0x00	0x0000
0x01	0x0001
0x02	0x0002
0x03	0x0003
0x04	0x0004
0x05	0x0005
0x06	0x0006
0x07	0x0007
0x08	0x0008
0x09	0x0009
0x0A	0x000A
0x0B	0x000B
0x0C	0x000C
0x0D	0x000D
0x0E	0x000E
0x0F	0x000F
0x10	0x0010
0x11	0x0011
0x12	0x0012
0x13	0x0013
0x14	0x0014
0x15	0x0015
0x16	0x0016
0x17	0x0017
0x18	0x0018
0x19	0x0019
0x1A	0x001A
0x1B	0x001B
0x1C	0x001C
0x1D	0x001D
0x1E	0x001E
0x1F	0x001F
0x20	0x0020
0x21	0x0021
0x22	0x0022
0x23	0x0023
0x24	0x0024
0x25	0x0025
0x26	0x0026
0x27	0x0027
0x28	0x0028
0x29	0x0029
0x2A	0x002A
0x2B	0x002B
0x2C	0x002C
0x2D	0x002D
0x2E	0x002E
0x2F	0x002F
0x30	0x0030
0x31	0x0031
0x32	0x0032
0x33	0x0033
0x34	0x0034
0x35	0x0035
0x36	0x0036
0x37	0x0037
0x38	0x0038
0x39	0x0039
0x3A	0x003A
0x3B	0x003B
0x3C	0x003C
0x3D	0x003D
0x3E	0x003E
0x3F	0x003F
0x40	0x0040
0x41	0x0041
0x42	0x0042
0x43	0x0043
0x44	0x0044
0x45	0x0045
0x46	0x0046
0x47	0x0047
0x48	0x0048
0x49	0x0049
0x4A	0x004A
0x4B	0x004B
0x4C	0x004C
0x4D	0x004D
0x4E	0x004E
0x4F	0x004F
0x50	0x0050
0x51	0x0051
0x52	0x0052
0x53	0x0053
0x54	0x0054
0x55	0x0055
0x56	0x0056
0x57	0x0057
0x58	0x0058
0x59	0x0059
0x5A	0x005A
0x5B	0x005B
0x5C	0x005C
0x5D	0x005D
0x5E	0x005E
0x5F	0x005F
0x60	0x0060
0x61	0x0061
0x62	0x0062
0x63	0x0063
0x64	0x0064
0x65	0x0065
0x66	0x0066
0x67	0x0067
0x68	0x0068
0x69	0x0069
0x6A	0x006A
0x6B	0x006B
0x6C	0x006C
0x6D	0x006D
0x6E	0x006E
0x6F	0x006F
0x70	0x0070
0x71	0x0071
0x72	0x0072
0x73	0x0073
0x74	0x0074
0x75	0x0075
0x76	0x0076
0x77	0x0077
0x78	0x0078
0x79	0x0079
0x7A	0x007A
0x7B	0x007B
0x7C	0x007C
0x7D	0x007D
0x7E	0x007E
0x7F	0x007F
0xA121	0x4E42
0xA122	0x4E5C
0xA123	0x51F5
0xA124	0x531A
0xA125	0x5382
0xA126	0x4E07
0xA127	0x4E0C
0xA128	0x4E47
0xA129	0x4E8D
0xA12A	0x56D7
0xA12B	0x5C6E
0xA12C	0x5F73
0xA12D	0x4E0F
0xA12E	0x5187
0xA12F	0x4E0E
0xA130	0x4E2E
0xA131	0x4E93
0xA132	0x4EC2
0xA133	0x4EC9
0xA134	0x4EC8
0xA135	0x5198
0xA136	0x52FC
0xA137	0x536C
0xA138	0x53B9
0xA139	0x5720
0xA13A	0x5903
0xA13B	0x592C
0xA13C	0x5C10
0xA13D	0x5DFF
0xA13E	0x65E1
0xA13F	0x6BB3
0xA140	0x6BCC
0xA141	0x6C14
0xA142	0x723F
0xA143	0x4E31
0xA144	0x4E3C
0xA145	0x4EE8
0xA146	0x4EDC
0xA147	0x4EE9
0xA148	0x4EE1
0xA149	0x4EDD
0xA14A	0x4EDA
0xA14B	0x520C
0xA14C	0x5209
0xA14D	0x531C
0xA14E	0x534C
0xA14F	0x5722
0xA150	0x5723
0xA151	0x5917
0xA152	0x592F
0xA153	0x5B81
0xA154	0x5B84
0xA155	0x5C12
0xA156	0x5C3B
0xA157	0x5C74
0xA158	0x5C73
0xA159	0x5E04
0xA15A	0x5E80
0xA15B	0x5E82
0xA15C	0x5FC9
0xA15D	0x6209
0xA15E	0x6250
0xA15F	0x6C15
0xA160	0x6C36
0xA161	0x6C43
0xA162	0x6C3F
0xA163	0x6C3B
0xA164	0x72AE
0xA165	0x72B0
0xA166	0x738A
0xA167	0x79B8
0xA168	0x808A
0xA169	0x961E
0xA16A	0x4F0E
0xA16B	0x4F18
0xA16C	0x4F2C
0xA16D	0x4EF5
0xA16E	0x4F14
0xA16F	0x4EF1
0xA170	0x4F00
0xA171	0x4EF7
0xA172	0x4F08
0xA173	0x4F1D
0xA174	0x4F02
0xA175	0x4F05
0xA176	0x4F22
0xA177	0x4F13
0xA178	0x4F04
0xA179	0x4EF4
0xA17A	0x4F12
0xA17B	0x51B1
0xA17C	0x5213
0xA17D	0x5210
0xA17E	0x52A6
0xA1A1	0x3000
0xA1A2	0xFF0C
0xA1A3	0x3001
0xA1A4	0x3002
0xA1A5	0xFF0E
