0x00	0x0000
0x01	0x0001
0x02	0x0002
0x03	0x0003
0x04	0x0004
0x05	0x0005
0x06	0x0006
0x07	0x0007
0x08	0x0008
0x09	0x0009
0x0A	0x000A
0x0B	0x000B
0x0C	0x000C
0x0D	0x000D
0x0E	0x000E
0x0F	0x000F
0x10	0x0010
0x11	0x0011
0x12	0x0012
0x13	0x0013
0x14	0x0014
0x15	0x0015
0x16	0x0016
0x17	0x0017
0x18	0x0018
0x19	0x0019
0x1A	0x001A
0x1B	0x001B
0x1C	0x001C
0x1D	0x001D
0x1E	0x001E
0x1F	0x001F
0x20	0x0020
0x21	0x0021
0x22	0x0022
0x23	0x0023
0x24	0x0024
0x25	0x0025
0x26	0x0026
0x27	0x0027
0x28	0x0028
0x29	0x0029
0x2A	0x002A
0x2B	0x002B
0x2C	0x002C
0x2D	0x002D
0x2E	0x002E
0x2F	0x002F
0x30	0x0030
0x31	0x0031
0x32	0x0032
0x33	0x0033
0x34	0x0034
0x35	0x0035
0x36	0x0036
0x37	0x0037
0x38	0x0038
0x39	0x0039
0x3A	0x003A
0x3B	0x003B
0x3C	0x003C
0x3D	0x003D
0x3E	0x003E
0x3F	0x003F
0x40	0x0040
0x41	0x0041
0x42	0x0042
0x43	0x0043
0x44	0x0044
0x45	0x0045
0x46	0x0046
0x47	0x0047
0x48	0x0048
0x49	0x0049
0x4A	0x004A
0x4B	0x004B
0x4C	0x004C
0x4D	0x004D
0x4E	0x004E
0x4F	0x004F
0x50	0x0050
0x51	0x0051
0x52	0x0052
0x53	0x0053
0x54	0x0054
0x55	0x0055
0x56	0x0056
0x57	0x0057
0x58	0x0058
0x59	0x0059
0x5A	0x005A
0x5B	0x005B
0x5C	0x005C
0x5D	0x005D
0x5E	0x005E
0x5F	0x005F
0x60	0x0060
0x61	0x0061
0x62	0x0062
0x63	0x0063
0x64	0x0064
0x65	0x0065
0x66	0x0066
0x67	0x0067
0x68	0x0068
0x69	0x0069
0x6A	0x006A
0x6B	0x006B
0x6C	0x006C
0x6D	0x006D
0x6E	0x006E
0x6F	0x006F
0x70	0x0070
0x71	0x0071
0x72	0x0072
0x73	0x0073
0x74	0x0074
0x75	0x0075
0x76	0x0076
0x77	0x0077
0x78	0x0078
0x79	0x0079
0x7A	0x007A
0x7B	0x007B
0x7C	0x007C
0x7D	0x007D
0x7E	0x007E
0x7F	0x007F
0x8EA1	0xFF61
0x8EA2	0xFF62
0x8EA3	0xFF63
0x8EA4	0xFF64
0x8EA5	0xFF65
0x8EA6	0xFF66
0x8EA7	0xFF67
0x8EA8	0xFF68
0x8EA9	0xFF69
0x8EAA	0xFF6A
0x8EAB	0xFF6B
0x8EAC	0xFF6C
0x8EAD	0xFF6D
0x8EAE	0xFF6E
0x8EAF	0xFF6F
0x8EB0	0xFF70
0x8EB1	0xFF71
0x8EB2	0xFF72
0x8EB3	0xFF73
0x8EB4	0xFF74
0x8EB5	0xFF75
0x8EB6	0xFF76
0x8EB7	0xFF77
0x8EB8	0xFF78
0x8EB9	0xFF79
0x8EBA	0xFF7A
0x8EBB	0xFF7B
0x8EBC	0xFF7C
0x8EBD	0xFF7D
0x8EBE	0xFF7E
0x8EBF	0xFF7F
0x8EC0	0xFF80
0x8EC1	0xFF81
0x8EC2	0xFF82
0x8EC3	0xFF83
0x8EC4	0xFF84
0x8EC5	0xFF85
0x8EC6	0xFF86
0x8EC7	0xFF87
0x8EC8	0xFF88
0x8EC9	0xFF89
0x8ECA	0xFF8A
0x8ECB	0xFF8B
0x8ECC	0xFF8C
0x8ECD	0xFF8D
0x8ECE	0xFF8E
0x8ECF	0xFF8F
0x8ED0	0xFF90
0x8ED1	0xFF91
0x8ED2	0xFF92
0x8ED3	0xFF93
0x8ED4	0xFF94
0x8ED5	0xFF95
0x8ED6	0xFF96
0x8ED7	0xFF97
0x8ED8	0xFF98
0x8ED9	0xFF99
0x8EDA	0xFF9A
0x8EDB	0xFF9B
0x8EDC	0xFF9C
0x8EDD	0xFF9D
0x8EDE	0xFF9E
0x8EDF	0xFF9F
0x8FA1A1	0x20089
0x8FA1A2	0x4E02
0x8FA1A3	0x4E0F
0x8FA1A4	0x4E12
0x8FA1A5	0x4E29
0x8FA1A6	0x4E2B
0x8FA1A7	0x4E2E
0x8FA1A8	0x4E40
0x8FA1A9	0x4E47
0x8FA1AA	0x4E48
0x8FA1AB	0x200A2
0x8FA1AC	0x4E51
0x8FA1AD	0x3406
0x8FA1AE	0x200A4
0x8FA1AF	0x4E5A
0x8FA1B0	0x4E69
0x8FA1B1	0x4E9D
0x8FA1B2	0x342C
0x8FA1B3	0x342E
0x8FA1B4	0x4EB9
